Plot,Treatment,N,mean_SWP,sd_SWP,se_SWP,mean_VWC,sd_VWC,se_VWC,SampleDate,Site
7,Ambient,24,-298894634152112,258044637275596.16,52673141015564.88,0.004225,0.006013481231511339,0.001227496716250515,2018-06-10,Desert Grassland
9,Exclusion,24,-277545037452492.3,260794777084273.1,53234510953279.37,0.004595833333333334,0.006172201296181104,0.0012598953137823877,2018-06-10,Desert Grassland
10,Ambient,24,-41987.57744395758,62735.48577983273,12805.82741051835,0.01620833333333333,0.006021549465960941,0.0012291436377110708,2018-06-10,Desert Grassland
11,Addition,24,-85398676660932.58,195063531710946.5,39817176676418.73,0.01085,0.009719321858612583,0.0019839482666233216,2018-06-10,Desert Grassland
12,Exclusion,24,-31236747.49949536,74965340.31564914,15302236.013952736,0.011625,0.00825049405635281,0.0016841250469941489,2018-06-10,Desert Grassland
1,Addition,24,-147.57025330964652,128.30487500511623,26.190122939509166,0.04145833333333333,0.009088832931568883,0.0018552502533123285,2018-06-11,Desert Grassland
3,Ambient,24,-192146383496066.3,253395123458903.75,51724062981988.49,0.0091625,0.009794089277855736,0.0019992101021675274,2018-06-11,Desert Grassland
4,Exclusion,24,-21350163543315.562,104591116798013.16,21349572315247.55,0.011504166666666666,0.00894356602191798,0.0018255977695493537,2018-06-11,Desert Grassland
5,Addition,24,-6798.145175962025,8435.11559848903,1721.810761474106,0.024458333333333335,0.010537630979810721,0.0021509849165233844,2018-06-11,Desert Grassland
7,Ambient,24,-277545037198586.38,260794777366235.25,53234511010834.66,0.0056791666666666666,0.0076756520281974095,0.0015667859093535378,2018-06-11,Desert Grassland
9,Exclusion,24,-277544761715849.12,260795083285404.72,53234573456323.63,0.006595833333333333,0.008579575299444638,0.0017512984744521298,2018-06-11,Desert Grassland
10,Ambient,24,-36197.19726854261,49425.90647465718,10089.020911452788,0.017458333333333333,0.007027765843681987,0.0014345366957317497,2018-06-11,Desert Grassland
11,Addition,24,-64049357045648.47,173101610962923.9,35334218376077.19,0.011595833333333333,0.010255241678481204,0.002093342441766854,2018-06-11,Desert Grassland
12,Exclusion,24,-39506454.801952094,84582464.65272795,17265323.298848156,0.01325,0.009896200412718796,0.002020053450290112,2018-06-11,Desert Grassland
1,Addition,24,-98.98888542939899,72.53262659166468,14.80566040445042,0.043541666666666666,0.008277676457571406,0.001689673631408246,2018-06-12,Desert Grassland
3,Ambient,24,-149447465117543.38,237905521301018.72,48562261181527.52,0.010195833333333333,0.010259988946797447,0.002094311473854094,2018-06-12,Desert Grassland
4,Exclusion,24,-21889207.93299239,62881140.62085527,12835559.08044097,0.013,0.009016892359681741,0.0018405654455683695,2018-06-12,Desert Grassland
5,Addition,24,-3560.2100301462565,4077.6406143318477,832.3449049634966,0.02575,0.009869804632223521,0.0020146654341587846,2018-06-12,Desert Grassland
7,Ambient,24,-277545036987256.84,260794777600916.4,53234511058738.74,0.006179166666666667,0.008425529484931454,0.0017198540042380694,2018-06-12,Desert Grassland
9,Exclusion,24,-277544760679092.6,260795084436718.72,53234573691334.62,0.006970833333333333,0.008968324896505219,0.0018306516536613785,2018-06-12,Desert Grassland
10,Ambient,24,-18342.694358917222,24103.279074868133,4920.061238444159,0.018875,0.007054523679726796,0.0014399986161426524,2018-06-12,Desert Grassland
11,Addition,24,-842071207.0784792,2237106297.4393306,456647410.75777453,0.013208333333333332,0.010705460478558174,0.0021852429694999118,2018-06-12,Desert Grassland
12,Exclusion,24,-1549112.8614878177,2838781.074751259,579463.7603841847,0.014624999999999999,0.009627011365220619,0.001965105466063749,2018-06-12,Desert Grassland
1,Addition,24,-113.3010184557524,62.30359312469385,12.717667691456178,0.04058333333333333,0.0053965904426588746,0.0011015744112745538,2018-06-13,Desert Grassland
3,Ambient,24,-85398971402101.61,195063397067784.12,39817149192498.29,0.007891666666666667,0.007127284784951215,0.0014548509145527178,2018-06-13,Desert Grassland
4,Exclusion,24,-4472547.937824207,10320389.282276474,2106640.6407054723,0.011083333333333334,0.006268740020871448,0.001279601198441585,2018-06-13,Desert Grassland
5,Addition,24,-3076.0593444348247,2914.744495572004,594.9697287281127,0.023458333333333335,0.006580466262498735,0.0013432320510601173,2018-06-13,Desert Grassland
7,Ambient,24,-256195717908950.53,261704800676589.03,53420268741201.75,0.0043,0.0055964274318532885,0.0011423659658795862,2018-06-13,Desert Grassland
9,Exclusion,24,-256195718906668.88,261704799657407.62,53420268533162.22,0.003966666666666667,0.005194032250043578,0.0010602273933472315,2018-06-13,Desert Grassland
10,Ambient,24,-12170.146153257176,13725.827389031381,2801.7727833870654,0.01775,0.004636809247747852,9.464847243000458e-4,2018-06-13,Desert Grassland
11,Addition,24,-29995742.28459703,75217428.54540826,15353693.30837535,0.011,0.007306935359494162,0.0014915219345217222,2018-06-13,Desert Grassland
12,Exclusion,24,-1087139.0401132389,2163311.841797208,441584.18057697057,0.012,0.0066332495807108005,0.0013540064007726603,2018-06-13,Desert Grassland
1,Addition,24,-131.14654179418818,71.24772814358624,14.543381607026573,0.03920833333333333,0.004800173607971555,9.798313346920703e-4,2018-06-14,Desert Grassland
3,Ambient,24,-106749643923939.28,212564829942474.9,43389614218378.58,0.0061875,0.005989869164572432,0.0012226769232694516,2018-06-14,Desert Grassland
4,Exclusion,24,-2445481.7987387525,6424204.134587337,1311335.1777680807,0.010708333333333334,0.005864255515717506,0.0011970361445674757,2018-06-14,Desert Grassland
5,Addition,24,-3293.613770711594,2721.1712325722497,555.456751878532,0.022,0.005021692075819447,0.0010250486025946085,2018-06-14,Desert Grassland
7,Ambient,24,-298894370611050.44,258044955804954.78,52673206035097.945,0.002475,0.003433372027360401,7.008341303481656e-4,2018-06-14,Desert Grassland
9,Exclusion,24,-277545038601874.62,260794775807885.8,53234510692737.91,0.002970833333333333,0.0037550521523231424,7.664968108942862e-4,2018-06-14,Desert Grassland
10,Ambient,24,-11550.632158206014,11057.829535239536,2257.170002001177,0.017416666666666667,0.004138017448706216,8.446692746719744e-4,2018-06-14,Desert Grassland
11,Addition,24,-5349274.159905859,10244127.84807425,2091073.8406347823,0.011125,0.007176728696461132,0.0014649436107266028,2018-06-14,Desert Grassland
12,Exclusion,24,-1029694.7059866919,1719318.0746916772,350954.3323782488,0.010958333333333334,0.005744404965337759,0.0011725717534156333,2018-06-14,Desert Grassland
1,Addition,24,-132.53658916962863,61.958631280727005,12.647252649918816,0.038875,0.00455223308794228,9.292206879727341e-4,2018-06-15,Desert Grassland
3,Ambient,24,-170797340658087.47,246737778214847.47,50365138074531.63,0.005408333333333334,0.005849854451304688,0.0011940965396037792,2018-06-15,Desert Grassland
4,Exclusion,24,-2793023.732775019,6484767.868444741,1323697.6981737772,0.009916666666666667,0.005640819140843832,0.0011514273855326657,2018-06-15,Desert Grassland
5,Addition,24,-3535.5561155410637,2665.1625819278106,544.024033940142,0.021541666666666667,0.005047420061314723,0.0010303003056423713,2018-06-15,Desert Grassland
7,Ambient,24,-362943157889618.7,237905693490626.44,48562296329584.016,0.0019875,0.0033967135651211833,6.933512530780683e-4,2018-06-15,Desert Grassland
9,Exclusion,24,-341593560728921.75,246738172531574.12,50365218564096.414,0.002608333333333333,0.004117187375388442,8.404173537608653e-4,2018-06-15,Desert Grassland
10,Ambient,24,-10868.608145091674,8793.553331382398,1794.9765573198358,0.01725,0.004013563958899112,8.192653124439685e-4,2018-06-15,Desert Grassland
11,Addition,24,-1581672.9639994523,2518371.920576902,514060.5156638579,0.011,0.006807923772117056,0.0013896616207875409,2018-06-15,Desert Grassland
12,Exclusion,24,-1183695.2819802493,1755000.550630008,358237.98727891955,0.009875,0.0053022759674297044,0.0010823225496354011,2018-06-15,Desert Grassland
1,Addition,24,-154.23621351753008,48.22131065522832,9.843133819461913,0.036958333333333336,0.0027103532044280903,5.532485311305106e-4,2018-06-16,Desert Grassland
3,Ambient,24,-256195728933933.9,261704789414437.16,53420266442324.625,0.00205,0.0024250504252937488,4.950113452074185e-4,2018-06-16,Desert Grassland
4,Exclusion,24,-7351343.927820887,11111424.567935696,2268110.042238958,0.006333333333333333,0.0031021264329161536,6.332189065203906e-4,2018-06-16,Desert Grassland
5,Addition,24,-4461.062347327613,2483.755538112183,506.99447618222547,0.01925,0.0027858337289252185,5.686559286751446e-4,2018-06-16,Desert Grassland
7,Ambient,24,-512390326715883.3,0,0,1e-4,0,0,2018-06-16,Desert Grassland
9,Exclusion,24,-512390326715883.3,0,0,1e-4,0,0,2018-06-16,Desert Grassland
10,Ambient,24,-31132.392778391946,25141.249187556263,5131.936000472915,0.013166666666666667,0.0019708013524996613,4.0228814150092794e-4,2018-06-16,Desert Grassland
11,Addition,24,-1959626.9799249086,2708826.046744179,552936.8013736478,0.007458333333333333,0.0029778773687290086,6.078566724973223e-4,2018-06-16,Desert Grassland
12,Exclusion,24,-1953768.0694081339,2421088.5329076704,494202.6273106093,0.007083333333333333,0.0026361478263403288,5.381014217567338e-4,2018-06-16,Desert Grassland
1,Addition,24,-130.04320525567488,94.26238133154492,19.241228016827986,0.04108333333333333,0.007677843145201576,0.0015672331692391163,2018-06-17,Desert Grassland
3,Ambient,24,-192146667798835.78,253394898505964.38,51724017063662.02,0.007745833333333333,0.00862539119045657,0.0017606506040429798,2018-06-17,Desert Grassland
4,Exclusion,24,-861343236.044153,2230424438.046114,455283481.92057425,0.010750000000000001,0.008588414845896616,0.0017531028393158775,2018-06-17,Desert Grassland
5,Addition,24,-5869.027069330005,6331.885369375362,1292.4906887303187,0.023208333333333334,0.00897328967192255,0.0018316650841997096,2018-06-17,Desert Grassland
7,Ambient,24,-320244230815924.06,253394767354691.62,51723990292520.58,0.0039791666666666664,0.006022203783150907,0.0012292771996481832,2018-06-17,Desert Grassland
9,Exclusion,24,-277545038185164.28,260794776270642.03,53234510787197.625,0.005304166666666666,0.007225888190729742,0.0014749782504742167,2018-06-17,Desert Grassland
10,Ambient,24,-56412.35973694935,79347.95234063121,16196.832947435385,0.017416666666666667,0.007890096525924496,0.0016105592091517702,2018-06-17,Desert Grassland
11,Addition,24,-6342883.660481269,11489002.792526072,2345182.874591659,0.013333333333333334,0.009796479698991552,0.0019996980448386205,2018-06-17,Desert Grassland
12,Exclusion,24,-6593669.354232732,11439804.414495196,2335140.2977293087,0.011958333333333333,0.008655127490918778,0.0017667205009571877,2018-06-17,Desert Grassland
1,Addition,24,-140.0693788934912,111.86631819401794,22.83461658159718,0.04095833333333333,0.008083688173893993,0.0016500759388175848,2018-06-18,Desert Grassland
3,Ambient,24,-192146934943825.06,253394687128754.72,51723973916469.78,0.007745833333333333,0.008705669275606091,0.001777037299554982,2018-06-18,Desert Grassland
4,Exclusion,24,-85398684426517.9,195063528163368,39817175952272.3,0.010683333333333333,0.009186079575695744,0.001875100641421398,2018-06-18,Desert Grassland
5,Addition,24,-9544.600041428088,14225.026772423504,2903.6714308222895,0.022875,0.00927508349897959,0.0018932684911840015,2018-06-18,Desert Grassland
7,Ambient,24,-298894367920077.4,258044959057438.25,52673206699008.35,0.004808333333333334,0.00685012958726467,0.0013982768467283647,2018-06-18,Desert Grassland
9,Exclusion,24,-277544770016548.62,260795074067514.03,53234571574729.57,0.0056375,0.007429015529606223,0.0015164414448956155,2018-06-18,Desert Grassland
10,Ambient,24,-22005.956886268323,29544.621955416933,6030.770702850039,0.018458333333333334,0.00692807248849181,0.0014141868748182515,2018-06-18,Desert Grassland
11,Addition,24,-21350161311639.188,104591117273370.98,21349572412279.562,0.013504166666666666,0.010953080931137959,0.0022357882827247046,2018-06-18,Desert Grassland
12,Exclusion,24,-850164119.1198219,2234389523.9759603,456092851.69677526,0.011791666666666667,0.009399256060601479,0.0019186151091863288,2018-06-18,Desert Grassland
1,Addition,24,-123.47316705494892,96.95984321431018,19.79184511794316,0.042166666666666665,0.008625879497271526,0.0017607502792541933,2018-06-19,Desert Grassland
3,Ambient,24,-213495988283338.25,258044955706347.88,52673206014969.89,0.007916666666666667,0.00893681524183345,0.0018242197723349503,2018-06-19,Desert Grassland
4,Exclusion,24,-21350171624093.39,104591115076776.92,21349571963901.676,0.0112125,0.008924139831890266,0.0018216324151148337,2018-06-19,Desert Grassland
5,Addition,24,-4900.426712217576,5761.241506231669,1176.008497934265,0.024333333333333332,0.009443961340301085,0.0019277405361923653,2018-06-19,Desert Grassland
7,Ambient,24,-298894358670105.3,258044970237546.22,52673208981138.336,0.005433333333333333,0.007566037769944839,0.0015444109925824997,2018-06-19,Desert Grassland
9,Exclusion,24,-277544769801982.12,260795074305789.28,53234571623367.305,0.005970833333333333,0.007853300561556581,0.001603048264377185,2018-06-19,Desert Grassland
10,Ambient,24,-16093.225025937934,19753.107310200503,4032.086145369296,0.019,0.006965754742340185,0.0014218787326754638,2018-06-19,Desert Grassland
11,Addition,24,-21990548.827218983,62846466.45777124,12828481.24653981,0.014083333333333333,0.010822346714359003,0.002209102272472134,2018-06-19,Desert Grassland
12,Exclusion,24,-31263364.628746834,74955022.07949442,15300129.812817352,0.012791666666666666,0.009537017885320733,0.0019467356239027379,2018-06-19,Desert Grassland
1,Addition,24,-126.89057939835291,105.34261419358818,21.502971078763323,0.042333333333333334,0.008991138955112691,0.0018353085538739,2018-06-20,Desert Grassland
3,Ambient,24,-192146391547818.72,253395117087905.22,51724061681513.86,0.0089125,0.009529602049266868,0.0019452218727070624,2018-06-20,Desert Grassland
4,Exclusion,24,-64049088699944.46,173101714564778,35334239523717.1,0.0118875,0.00988086919693589,0.00201692397897306,2018-06-20,Desert Grassland
5,Addition,24,-6535.771939727411,8228.6221353058,1679.6604598058477,0.024583333333333332,0.010537373101682315,0.0021509322773708497,2018-06-20,Desert Grassland
7,Ambient,24,-277544769861954.94,260795074239189.72,53234571609772.73,0.0061375,0.00817758402187239,0.0016692423485270022,2018-06-20,Desert Grassland
9,Exclusion,24,-256195439979819.16,261705084580638.88,53420326692873.25,0.007008333333333333,0.008778229823864246,0.001791848659445738,2018-06-20,Desert Grassland
10,Ambient,24,-17307.657775615717,23256.80638304952,4747.275723764512,0.019125,0.007115888529566592,0.0014525246636634868,2018-06-20,Desert Grassland
11,Addition,24,-850118833.11449,2234407492.7852015,456096519.5646025,0.013458333333333333,0.011021635508188533,0.0022497819271668894,2018-06-20,Desert Grassland
12,Exclusion,24,-23141250.571557112,62742718.02084432,12807303.685532954,0.013583333333333333,0.009977874072892119,0.002036725016360955,2018-06-20,Desert Grassland
1,Addition,24,-117.89915806140968,95.04884655585957,19.401764558495852,0.042583333333333334,0.008637213050247302,0.0017630637310678146,2018-06-21,Desert Grassland
3,Ambient,24,-192146375230924.44,253395129998747.72,51724064316928.55,0.009079166666666666,0.009483944288921266,0.0019359020214033123,2018-06-21,Desert Grassland
4,Exclusion,24,-306351940.44013935,1350096203.9273686,275587233.60754967,0.012791666666666666,0.009098395303648291,0.0018572021643394276,2018-06-21,Desert Grassland
5,Addition,24,-5688.683694013767,7533.56668245112,1537.782859603093,0.024708333333333332,0.009971608246140276,0.0020354460098310637,2018-06-21,Desert Grassland
7,Ambient,24,-256195449316911.97,261705075042708.62,53420324745951.39,0.006175,0.008166700680201276,0.0016670207957111194,2018-06-21,Desert Grassland
9,Exclusion,24,-256195440194366.78,261705084361476.34,53420326648136.89,0.006758333333333333,0.008548883307023289,0.0017450334977336568,2018-06-21,Desert Grassland
10,Ambient,24,-18498.244152014788,26260.37382076341,5360.376359634322,0.019291666666666665,0.007291920285444388,0.0014884569953657178,2018-06-21,Desert Grassland
11,Addition,24,-306569598.33311385,1350045467.9744043,275576877.1745183,0.013833333333333333,0.010805259052350656,0.0022056142680706684,2018-06-21,Desert Grassland
12,Exclusion,24,-22152195.434209898,62804408.317374095,12819896.164581198,0.013791666666666667,0.009912570704464836,0.00202339502209997,2018-06-21,Desert Grassland
1,Addition,24,-106.88938442601987,77.12671372283116,15.743424513220793,0.042708333333333334,0.008002603742949333,0.0016335246486593885,2018-06-22,Desert Grassland
3,Ambient,24,-149447742547601.75,237905339451601.97,48562224061670.766,0.008445833333333333,0.008708066184100041,0.0017775265664525086,2018-06-22,Desert Grassland
4,Exclusion,24,-4212640.646089817,10324837.584308056,2107548.646555403,0.01325,0.008242255917447337,0.0016824434439317673,2018-06-22,Desert Grassland
5,Addition,24,-3491.3133912066864,3751.750147270648,765.8227919353942,0.024791666666666667,0.008787239595580908,0.0017936877713961366,2018-06-22,Desert Grassland
7,Ambient,24,-256195716446542.97,261704802170456.22,53420269046136.12,0.00555,0.007267736924242649,0.0014835205874315779,2018-06-22,Desert Grassland
9,Exclusion,24,-277544761731760.22,260795083267735.5,53234573452716.914,0.005845833333333333,0.00749190746981247,0.0015292792084321933,2018-06-22,Desert Grassland
10,Ambient,24,-10123.269890522964,12031.603549739893,2455.940790360129,0.019708333333333335,0.006314091670477109,0.0012888585651521984,2018-06-22,Desert Grassland
11,Addition,24,-5713995.083245479,11608213.708471674,2369516.7009113706,0.014541666666666666,0.010705460478558174,0.0021852429694999118,2018-06-22,Desert Grassland
12,Exclusion,24,-1276371.628657504,2532455.448807774,516935.3038258344,0.01375,0.008507030340688301,0.0017364902967551066,2018-06-22,Desert Grassland
1,Addition,24,-123.11859640813137,94.73888546434374,19.33849401563503,0.041791666666666664,0.008043248136151846,0.001641821150680322,2018-06-23,Desert Grassland
3,Ambient,24,-170797063032918.88,246737978744575.88,50365179007491.04,0.00845,0.00880814840138775,0.0017979557635092785,2018-06-23,Desert Grassland
4,Exclusion,24,-297036952.8002217,1351458751.8241794,275865362.5323237,0.012624999999999999,0.00866182278236189,0.0017680871716000918,2018-06-23,Desert Grassland
5,Addition,24,-5873.587200156952,7568.642279816031,1544.9426359337049,0.02375,0.00901809774600618,0.0018408114940215198,2018-06-23,Desert Grassland
7,Ambient,24,-256195716630746.53,261704801982290.03,53420269007726.85,0.005758333333333333,0.007556506937828435,0.0015424655196233897,2018-06-23,Desert Grassland
9,Exclusion,24,-256195441176111.72,261705083358614.1,53420326443428.49,0.006175,0.00774592459465537,0.001581130236915023,2018-06-23,Desert Grassland
10,Ambient,24,-15379.06195655975,21957.60075392287,4482.076485238521,0.019,0.0064336074132500575,0.001313254613987486,2018-06-23,Desert Grassland
11,Addition,24,-840826341.8150338,2237585577.8024807,456745243.45222896,0.013625,0.010965608292173823,0.002238345419588162,2018-06-23,Desert Grassland
12,Exclusion,24,-29855744.275075406,75273362.64316663,15365110.808269594,0.013083333333333334,0.009030945189430215,0.0018434339674288666,2018-06-23,Desert Grassland
1,Addition,24,-114.37516891462211,83.18531406784214,16.980131129948045,0.04175,0.007176350047203661,0.0014648663192705787,2018-06-24,Desert Grassland
3,Ambient,24,-149447467378761.53,237905519818808.3,48562260878972.59,0.0081125,0.008152263622694805,0.0016640738436879466,2018-06-24,Desert Grassland
4,Exclusion,24,-12572384.400351606,45881757.09409123,9365574.448570482,0.012583333333333334,0.008042910281552408,0.0016417521863989991,2018-06-24,Desert Grassland
5,Addition,24,-4464.829443655818,5175.323553627444,1056.4084966828843,0.023541666666666666,0.008070230677521294,0.0016473289388735457,2018-06-24,Desert Grassland
7,Ambient,24,-277545038189019.28,260794776266361.06,53234510786323.77,0.0048875,0.006583332874701874,0.0013438171958257946,2018-06-24,Desert Grassland
9,Exclusion,24,-277544761766810,260795083228812.84,53234573444771.86,0.005304166666666667,0.006791649550969809,0.001386339659306544,2018-06-24,Desert Grassland
10,Ambient,24,-13914.891552726172,17927.774898997974,3659.491727168439,0.018708333333333334,0.005967150413553442,0.0012180394776369632,2018-06-24,Desert Grassland
11,Addition,24,-565233017.673947,1870047954.4191651,381721940.23853415,0.013708333333333333,0.010613687498642523,0.0021665098884192423,2018-06-24,Desert Grassland
12,Exclusion,24,-12791631.373388555,45842677.15729374,9357597.289875977,0.012625,0.008276800999335957,0.0016894949292442488,2018-06-24,Desert Grassland
1,Addition,24,-113.21098572484946,86.87305706042537,17.732888516144143,0.0425,0.008214515254691857,0.0016767809048586376,2018-06-25,Desert Grassland
3,Ambient,24,-149447734260410.12,237905344883799.8,48562225170513.51,0.009154166666666666,0.00937132440023782,0.0019129135828896886,2018-06-25,Desert Grassland
4,Exclusion,24,-13537698.46434658,46019816.11811155,9393755.628840186,0.013166666666666667,0.008701157677432137,0.0017761163734340937,2018-06-25,Desert Grassland
