Site,Trt,Canopy,Depth,mean N (%),SE,mean C (%),SE,C:N,ID,run_date,%N corrected,%C corrected,ID,run_date,%N corrected,%C corrected,ID,run_date,%N corrected,%C corrected,ID,run_date,%N corrected,%C corrected,ID,run_date,%N corrected,%C corrected
BlackPoint,Ctrl,IC,0-5,0.025529282,0.004610776,0.780373006,0.036207874,30.56776169,BPctrlP6IC_05,190131,0.025994955,0.785467732,BPctrlP5IC_05,190131,0.019331988,0.751109014,BPctrlP3IC_05,190131,0.018393542,0.70714144,BPctrlP8IC_05,190201,0.038396643,0.877773837,,,,
BlackPoint,Ctrl,IC,10-May,0.025334971,0.002695639,0.658764122,0.143536726,26.00216572,BPctrlP6IC_510,190131,0.019238143,0.722552973,BPctrlP8IC_510,190201,0.031945175,0.858093886,BPCtrlP5IC510,190422,0.023317641,0.81773573,BPCtrlP3IC510,190426,0.026838926,0.236673898,,,,
Antelope,Add,Can,0-5,0.090384243,0.005544703,1.070952867,0.121926863,11.84888904,ANTaddP2CAN_05,190131,0.092155399,1.076290476,AntAddP5Can05,190426,0.094248322,1.114535498,AntAddP11Can05,190627,0.100508393,1.342524322,AntAddP1Can05,190820,0.074624858,0.750461172,,,,
Antelope,Add,Can,10-May,0.079098316,0.003823039,0.831558079,0.054221659,10.5129682,ANTaddP2CAN_510,190201,0.086782657,0.85582934,ANTaddP1CAN_510,190201,0.072943217,0.724508915,AntAddP5Can510,190422,0.072117429,0.773435346,AntAddP11Can510,190627,0.08454996,0.972458716,,,,
Antelope,Add,IC,0-5,0.078147789,0.006152565,0.903268669,0.058815196,11.55846731,ANTaddP5IC_05,190131,0.068694248,0.785758565,ANTaddP1IC_05,190201,0.089696224,0.966629535,AntAddP11IC05,190422,0.076052896,0.957417906,,,,,,,,
Antelope,Add,IC,10-May,0.073996834,0.001817697,0.730821266,0.013384473,9.876385538,AntAddP1IC_510,190313,0.074548355,0.691321199,AntAddP5IC510,190402,0.070420151,0.737249211,AntAddP2IC510,190402,0.078824202,0.748155098,AntAddP11IC510,190426,0.072194631,0.746559556,,,,
Antelope,Exl,Can,0-5,0.083400735,0.00446751,1.015403926,0.026983375,12.1749998,ANTexlP4CAN_05,190131,0.076671039,0.981022986,AntExlP9Can05,190426,0.091855705,1.068618982,AntExlP12Can05,190627,0.08167546,0.996569811,,,,,,,,
Antelope,Exl,Can,10-May,0.072653464,0.00337306,0.798449916,0.037025233,10.98983955,ANTexlP12CAN_510,190131,0.06953885,0.728714967,AntExlP4Can510,190422,0.069362602,0.751748399,AntExlP6Can510,190625,0.068946618,0.820421123,AntExlP9Can510,190627,0.082765787,0.892915177,,,,
Antelope,Exl,IC,0-5,0.076852115,0.005512169,0.900802189,0.137119452,11.72124139,AntExlP6IC05,190402,0.08510309,1.216987751,AntExlP4IC05,190426,0.066681208,0.67991975,AntExlP12IC05,190426,0.087590604,1.043304807,AntExlP9IC05,190426,0.068033557,0.662996448,,,,
Antelope,Exl,IC,10-May,0.076747474,0.004125874,0.83823424,0.140816088,10.92197829,ANTexlP9IC_510,190201,0.071798601,0.664438322,AntExlP6IC510,190625,0.088645265,1.242631085,AntExlP12IC510,190627,0.075926459,0.816794912,AntExlP4IC510,190820,0.070619569,0.629072642,,,,
Antelope,Ctrl,Can,0-5,0.086100476,0.005387997,1.195094537,0.119842537,13.88023151,AntCtrlP7Can_05,190313,0.075382851,1.031900995,AntCtrlP8Can_05,190313,0.083171486,1.043835458,AntCtrlP3Can05,190402,0.101041807,1.543886943,AntCtrlP10Can05,190625,0.084805759,1.160754753,,,,
Antelope,Ctrl,Can,10-May,0.077198613,0.004635678,0.783000193,0.042239309,10.14267175,ANTctrlP3CAN_510,190201,0.083660979,0.858459519,ANTctrlP10CAN_510,190201,0.069301259,0.706816704,AntCtrlP8Can510,190426,0.086654362,0.853759769,AntCtrlP7Can510,190426,0.069177852,0.712964778,,,,
Antelope,Ctrl,IC,0-5,0.083752691,0.00505572,0.991891442,0.095555438,11.84309939,ANTctrlP7IC_05,190201,0.07159049,0.800187753,AntCtrlP3IC05,190422,0.09071251,1.2482971,AntCtrlP8IC05,190426,0.093312081,1.009454196,AntCtrlP10IC05,190627,0.079395683,0.909626717,,,,
Antelope,Ctrl,IC,10-May,0.077330356,0.006872157,0.794700614,0.079182454,10.27669674,ANTctrlP10IC_510,190201,0.065243077,0.677005989,AntCtrlP3IC510,190422,0.089039937,0.945311561,AntCtrlP8IC510,190426,0.077708054,0.761784293,,,,,,,,
BlueChute,Add,Can,0-5,0.211346928,0.003568409,2.653512505,0.225830893,12.55524523,BCAddP1Can05,190227,0.219130154,2.970732511,BCAddP9Can05,190402,0.205850948,3.363955776,BCAddP11Can05,190426,0.200875839,2.112808283,BCAddP6Can05,190627,0.212217426,2.36697454,BCAddP1Can05,190627,0.218660272,2.453091413
BlueChute,Add,Can,10-May,0.226266977,0.001402082,2.31025726,0.030778078,10.21031566,BCaddP11CAN_510,190201,0.224864895,2.279479182,BCAddP9Can510,190820,0.227669059,2.341035337,,,,,,,,,,,,
BlueChute,Add,IC,0-5,0.211881476,0.003916405,2.916845469,0.329467184,13.76640147,BCaddP6IC_05,190201,0.200827972,2.01974027,BCAddP11IC05,190227,0.211812449,2.970404602,BCAddP1IC05,190402,0.21753934,3.074864638,BCAddP9IC05,190402,0.217346144,3.602372367,,,,
BlueChute,Add,IC,10-May,0.168656123,0.045951744,2.092486557,0.446511978,12.40682239,BCaddP6IC_510,190201,0.217997203,2.181337393,BCaddP1IC_510,190201,0.206134825,2.170531903,BCAddP11IC510,190422,0.031090188,0.921710862,BCAddP11IC510,190422,0.219402275,3.096366071,,,,
BlueChute,Exl,Can,0-5,0.238563617,0.005682904,3.051334163,0.264576366,12.79044222,BCExlP10Can05,190422,0.246556996,3.478743104,BCExlP12Can05,190402,0.236279408,3.519802433,BCExlP8Can05,190627,0.223418066,2.468175494,BCExlP12Can05,190627,0.248,2.73861562,,,,
BlueChute,Exl,Can,10-May,0.230846962,0.008313492,3.270788306,0.406821221,14.16864351,BCExlP8Can510,190422,0.237505422,4.109733483,BCExlP4Can510,190402,0.206237341,3.826220603,BCExlP12Can510,190627,0.242845723,2.60156164,BCExlP10Can510,190627,0.236799361,2.545637498,,,,
BlueChute,Exl,IC,0-5,0.190685973,0.043329268,2.259327604,0.454555213,11.84842055,BCexlP12IC_05,190201,0.247861259,2.178674507,BCExlP2IC05,190422,0.018398307,0.741213716,BCExlP8IC05,190402,0.228744742,3.574981226,BCExlP8IC05,190627,0.238682654,2.559334752,BCExlP4IC05,190709,0.219742905,2.242433818
BlueChute,Exl,IC,10-May,0.218902706,0.011694802,2.828919023,0.274654393,12.92317977,BCexlP4IC_510,190201,0.195937343,2.173718294,BCExlP10IC510,190422,0.19824914,2.986724134,BCExlP8IC510,190402,0.211067255,3.758208101,BCExlP8IC510,190627,0.230554756,2.391990287,BCExlP12IC510,190627,0.258705036,2.833954302
BlueChute,Ctrl,Can,0-5,0.227257832,0.007975738,2.736532003,0.196689272,12.04153002,BCCtrlP5Can05,190422,0.211826501,2.926136488,BCCtrlP3Can_05,190313,0.232453639,3.103976423,BCCtrlP2Can05,190627,0.247306155,2.720803132,BCCtrlP7Can05,190820,0.217445032,2.19521197,,,,
BlueChute,Ctrl,Can,10-May,0.211183063,0.005753977,2.350719193,0.290733171,11.13119186,BCctrlP7CAN_510,190201,0.209256503,2.304939026,BCctrlP2CAN_510,190201,0.223512168,2.144105199,BCCtrlP5Can510,190422,0.215663581,3.161632547,BCCtrlP3Can510,190820,0.1963,1.7922,,,,
BlueChute,Ctrl,IC,0-5,0.209390619,0.022729237,2.818153116,0.145907596,13.45883177,BCCtrlP7IC05,190402,0.177740847,2.972987529,BCCtrlP5IC05,190402,0.163540898,3.131220183,BCCtrlP2IC05,190426,0.241342282,2.474617388,BCCtrlP3IC05,190627,0.254938449,2.693787365,,,,
BlueChute,Ctrl,IC,10-May,0.205753738,0.01158087,3.033800503,0.316589376,14.74481352,BCctrlP7IC_510,190131,0.190504541,3.460443547,BCctrlP5IC_510,190201,0.180016783,2.179653045,BCCtrlP3IC510,190227,0.228151981,3.305200608,BCCtrlP7IC510,190402,0.191457803,3.821480092,BCCtrlP2IC510,190426,0.238637584,2.402225221
Arboretum,Add,Can,0-5,0.206994421,0.008379001,2.764406902,0.073696991,13.35498263,ARBaddP12CAN_05,190131,0.206270434,2.768902508,ArbAddP3Can05,190402,0.21811893,2.893464885,ArbAddP8Can05,190426,0.220016779,2.838307935,ArbAddP9Can05,190627,0.183571543,2.556952278,,,,
Arboretum,Add,Can,10-May,0.191927968,0.01772796,2.509779018,0.178048403,13.07667162,ArbAddP3Can510,190402,0.183440145,2.546564268,ArbAddP12Can510,190426,0.244255034,2.999266408,ArbAddP8Can510,190709,0.169646077,2.268804593,ArbAddP9Can510,190709,0.170370618,2.224480801,,,,
Arboretum,Add,IC,0-5,0.180928886,0.016618897,2.140054891,0.070485146,11.8281549,ARBaddP3IC_05,190201,0.214043077,2.008123243,ArbAddP12IC05,190227,0.161891673,2.249032316,ArbAddP9IC05,190820,0.166851908,2.163009113,,,,,,,,
Arboretum,Add,IC,10-May,0.167441483,0.010586884,2.245299275,0.147504523,13.40945643,ArbAddP8IC510,190422,0.145513885,2.060795012,ArbAddP9IC510,190627,0.154529177,2.001208782,ArbAddP12IC510,190709,0.178133556,2.265145777,ArbAddP3IC510,190709,0.191589316,2.654047528,,,,
Arboretum,Exl,Can,0-5,0.220296302,0.016875697,3.063800357,0.237762336,13.90763406,ARBexlP4CAN_05,190131,0.185624622,2.750961865,ArbExlP7Can05,190227,0.214318513,2.948820289,ArbExlP10Can05,190426,0.214607383,2.789975877,ArbExlP1Can05,190627,0.266634692,3.765443398,,,,
Arboretum,Exl,Can,10-May,0.177198649,0.014493524,2.44834155,0.195924,13.81693124,ArbExlP7Can510,190402,0.17136536,2.430107163,ArbExlP4Can510,190402,0.163347702,2.273246985,ArbExlP1Can510,190627,0.219453237,2.998302797,ArbExlP10Can510,190627,0.154628297,2.091709256,,,,
Arboretum,Exl,IC,0-5,0.181325081,0.018433838,2.330095105,0.261866766,12.85037397,ARBexlP4IC_05,190131,0.179900101,3.062555346,ARBexlP10IC_05,190131,0.159911201,2.319237117,ARBexlP1IC_05,190201,0.23370965,2.083135156,ArbExlP7IC05,190820,0.151779373,1.8554528,,,,
Arboretum,Exl,IC,10-May,0.17014599,0.01454178,2.353965453,0.183862968,13.8349746,ArbExlP7IC_510,190313,0.143440678,2.093664427,ArbExlP1IC510,190627,0.181192646,2.543061247,ArbExlP10IC510,190627,0.149870504,2.002516293,ArbExlP4IC510,190709,0.206080134,2.776619846,,,,
Arboretum,Ctrl,Can,0-5,0.222592783,0.019835449,2.803165367,0.379290122,12.59324461,ARBctrlP11CAN_05,190201,0.209360559,1.963747473,ArbCtrlP6Can05,190422,0.17729278,2.414045036,ArbCtrlP2Can05,190820,0.271621836,3.657894291,ArbCtrlP5Can05,190820,0.232095958,3.176974668,,,,
Arboretum,Ctrl,Can,10-May,0.17247682,0.010937063,2.182569862,0.143037056,12.65427936,ARBctrlP2CAN_510,190201,0.191046713,1.913184923,ArbCtrlP5Can510,190422,0.182999207,2.467720011,ArbCtrlP6Can510,190627,0.141247002,1.960780653,ArbCtrlP11Can510,190709,0.174614357,2.388593861,,,,
Arboretum,Ctrl,IC,0-5,0.201640581,0.031648009,2.674657291,0.347337711,13.26447922,ArbCtrlP6IC05,190227,0.138434923,2.014242518,ArbCtrlP2IC05,190227,0.236171382,3.191465056,ArbCtrlP5IC05,190426,0.230315436,2.8182643,one of the 5-10's is the missing 0-5,,,,,,,
Arboretum,Ctrl,IC,10-May,0.170056439,0.012638019,2.159734988,0.210658959,12.70010712,ARBctrlP6IC_510,190201,0.123202238,1.504513402,ARBctrlP11IC_510,190201,0.187612867,1.888066673,ArbCtrlP5IC510,190422,0.18112986,2.466153394,ArbCtrlP11IC510,190709,0.164988314,2.248565835,ArbCtrlP2IC510,190709,0.193348915,2.691375638
CampColton,Add,Can,0-5,0.400626844,0.01515937,5.256650786,0.203963336,13.12106482,CCAddP4Can05,190402,0.397405349,5.496050551,CCAddP11Can05,190426,0.37564094,4.960470097,CCAddP9Can05,190627,0.368530775,4.749900685,CCAddP6Can05,190627,0.40718785,5.170037194,CCAddP6Can05,190627,0.454369305,5.906795399
CampColton,Add,Can,10-May,0.360340989,0.029176296,4.8657322,0.39322934,13.50313271,CCAddP4Can510,190402,0.308824721,4.444216666,CCAddP11Can510,190627,0.357726619,4.620190092,CCAddP6Can510,190820,0.442584435,6.034456371,CCAddP9Can510,190820,0.332228183,4.364065671,,,,
CampColton,Add,IC,0-5,0.37346187,0.016637846,5.191089022,0.090209637,13.89991709,CCAddP9IC05,190402,0.340702155,5.050458117,CCAddP6IC05,190627,0.394896882,5.163524205,CCAddP11IC05,190627,0.384786571,5.359284744,,,,,,,,
CampColton,Add,IC,10-May,0.319640203,0.008474437,4.264081315,0.186114258,13.34025345,CCAddP6IC510,190422,0.316313145,4.203093486,CCAddP9IC510,190402,0.301676448,4.190464386,CCAddP4IC510,190426,0.318010067,3.88559001,CCAddP11IC510,190627,0.342561151,4.777177378,,,,
CampColton,Exl,Can,0-5,0.36610696,0.02025176,4.829829142,0.264530763,13.19239913,CCExlP2Can05,190422,0.37878868,4.67942826,CCExlP10Can05,190402,0.396149572,5.70038402,CCExlP8Can05,190402,0.316552584,4.29724463,CCExlP8Can05,190627,0.3212502,4.337417477,CCExlP10Can05,190627,0.417793765,5.134671323
CampColton,Exl,Can,10-May,0.320287642,0.013741948,4.355168585,0.201535878,13.59767912,CCExlP10Can510,190422,0.335990479,4.554537849,CCExlP5Can510,190402,0.32408725,4.524481963,CCExlP8Can510,190627,0.28041247,3.751886962,CCExlP2Can510,190820,0.34066037,4.589767566,,,,
CampColton,Exl,IC,0-5,0.364696333,0.025753313,4.756612184,0.37253246,13.04266523,CCExlP10IC05,190422,0.407812748,5.425960548,CCExlP8IC05,190627,0.367539568,4.705347382,CCExlP2IC05,190820,0.318736683,4.138528622,,,,,,,,
CampColton,Exl,IC,10-May,0.343544923,0.01816264,4.439467116,0.184173622,12.92252286,CCExlP5IC510,190627,0.301921663,3.999999469,CCExlP8IC510,190820,0.334652437,4.316833196,CCExlP2IC510,190820,0.389672459,4.863502335,CCExlP10IC510,190820,0.347933132,4.577533463,,,,
CampColton,Ctrl,Can,0-5,0.37562199,0.016969208,4.966319979,0.119515851,13.22159007,CCCtrlP3Can05,190402,0.36465853,4.874602568,CCCtrlP7Can05,190402,0.334906258,4.828533021,CCCtrlP7Can05,190627,0.354852118,4.669108883,CCCtrlP3Can05,190627,0.39033733,5.104708876,CCCtrlP12Can05,190627,0.433355715,5.354646547
CampColton,Ctrl,Can,10-May,0.311373087,0.024627574,4.123240755,0.531944725,13.24212311,CCCtrlP7Can510,190402,0.307858738,4.346438018,CCCtrlP12Can510,190627,0.345435651,4.635286585,CCCtrlP1Can510,190820,0.34919796,4.941638418,CCCtrlP3Can510,190820,0.243,2.5696,,,,
CampColton,Ctrl,IC,0-5,0.387761755,0.024724521,5.168988179,0.323208937,13.33031975,CCCtrlP12IC05,190422,0.342188839,4.542097812,CCCtrlP3IC05,190402,0.393927811,5.345874209,CCCtrlP1IC05,190709,0.427168614,5.618992515,,,,,,,,
CampColton,Ctrl,IC,10-May,0.29423838,0.017967281,4.117816597,0.316869497,13.99483168,CCCtrlP3IC510,190402,0.312205661,4.434686094,CCCtrlP7IC510,190402,0.276271098,3.8009471,,,,,,,,,,,,
